							Pseudomonas mendocina NK-01		NrdBc				1	1
							Pseudomonas mendocina NK-01		NrdA				1	1
							Pseudomonas mendocina NK-01		NrdD				1	1
							Pseudomonas mendocina NK-01		NrdAc				1	1
							Pseudomonas mendocina NK-01		NrdDd1				1	1
							Pseudomonas mendocina NK-01		NrdDd				1	1
							Pseudomonas mendocina		NrdB				2	2
							Pseudomonas mendocina		NrdBc				2	2
							Pseudomonas mendocina		NrdA				2	2
							Pseudomonas mendocina		NrdD				1	1
							Pseudomonas mendocina		NrdAc				2	2
							Pseudomonas mendocina		NrdDd1				1	1
							Pseudomonas mendocina		NrdDd				1	1
							Escherichia coli PCN033		NrdBg				1	1
							Escherichia coli PCN033		NrdB				2	1
							Escherichia coli PCN033		NrdF				1	1
							Escherichia coli PCN033		NrdF1				1	1
							Escherichia coli PCN033		NrdA				2	1
							Escherichia coli PCN033		NrdD				1	1
							Escherichia coli PCN033		NrdDc1				1	1
							Escherichia coli PCN033		NrdAg				1	1
							Escherichia coli PCN033		NrdE				1	1
							Escherichia coli PCN033		NrdE1				1	1
							Escherichia coli PCN033		NrdDc				1	1
							Escherichia coli		NrdBg				88	81
							Escherichia coli		NrdB				171	81
							Escherichia coli		NrdF				83	78
							Escherichia coli		NrdF1				83	78
							Escherichia coli		NrdA				173	81
							Escherichia coli		NrdD				86	81
							Escherichia coli		NrdDc1				86	81
							Escherichia coli		NrdAg				88	81
							Escherichia coli		NrdE				85	80
							Escherichia coli		NrdE1				85	80
							Escherichia coli		NrdDc				86	81
							Streptomyces coelicolor A3(2)		NrdBn				1	1
							Streptomyces coelicolor A3(2)		NrdB				1	1
							Streptomyces coelicolor A3(2)		NrdA				1	1
							Streptomyces coelicolor A3(2)		NrdJ				1	1
							Streptomyces coelicolor A3(2)		NrdAn				1	1
							Streptomyces coelicolor A3(2)		NrdJd				1	1
							Streptomyces coelicolor		NrdBn				1	1
							Streptomyces coelicolor		NrdB				1	1
							Streptomyces coelicolor		NrdA				1	1
							Streptomyces coelicolor		NrdJ				1	1
							Streptomyces coelicolor		NrdAn				1	1
							Streptomyces coelicolor		NrdJd				1	1
							Psychrobacter sp. 1501(2011)		NrdBg				1	1
							Psychrobacter sp. 1501(2011)		NrdB				1	1
							Psychrobacter sp. 1501(2011)		NrdA				1	1
							Psychrobacter sp. 1501(2011)		NrdAg				1	1
							Helicobacter bizzozeronii CIII-1		NrdBh				1	1
							Helicobacter bizzozeronii CIII-1		NrdB				1	1
							Helicobacter bizzozeronii CIII-1		NrdA				1	1
							Helicobacter bizzozeronii		NrdBh				1	1
							Helicobacter bizzozeronii		NrdB				1	1
							Helicobacter bizzozeronii		NrdA				1	1
							Streptomyces cattleya NRRL 8057 = DSM 46488		NrdBn				2	1
							Streptomyces cattleya NRRL 8057 = DSM 46488		NrdB				2	1
							Streptomyces cattleya NRRL 8057 = DSM 46488		NrdA				2	1
							Streptomyces cattleya NRRL 8057 = DSM 46488		NrdJ				4	1
							Streptomyces cattleya NRRL 8057 = DSM 46488		NrdJm				2	1
							Streptomyces cattleya NRRL 8057 = DSM 46488		NrdAn				2	1
							Streptomyces cattleya NRRL 8057 = DSM 46488		NrdJd				2	1
							Streptomyces cattleya		NrdBn				2	1
							Streptomyces cattleya		NrdB				2	1
							Streptomyces cattleya		NrdA				2	1
							Streptomyces cattleya		NrdJ				4	1
							Streptomyces cattleya		NrdJm				2	1
							Streptomyces cattleya		NrdAn				2	1
							Streptomyces cattleya		NrdJd				2	1
							Rickettsia typhi str. TH1527		NrdBk				1	1
							Rickettsia typhi str. TH1527		NrdB				1	1
							Rickettsia typhi str. TH1527		NrdA				1	1
							Rickettsia typhi str. TH1527		NrdAk				1	1
							Rickettsia typhi		NrdBk				3	3
							Rickettsia typhi		NrdB				3	3
							Rickettsia typhi		NrdA				3	3
							Rickettsia typhi		NrdAk				3	3
							Rickettsia typhi str. B9991CWPP		NrdBk				1	1
							Rickettsia typhi str. B9991CWPP		NrdB				1	1
							Rickettsia typhi str. B9991CWPP		NrdA				1	1
							Rickettsia typhi str. B9991CWPP		NrdAk				1	1
							Chlamydophila abortus LLG		NrdB				1	1
							Chlamydophila abortus LLG		NrdBc				1	1
							Chlamydophila abortus LLG		NrdA				1	1
							Chlamydophila abortus LLG		NrdAc				1	1
							Chlamydophila abortus		NrdB				2	2
							Chlamydophila abortus		NrdBc				2	2
							Chlamydophila abortus		NrdA				2	2
							Chlamydophila abortus		NrdAc				2	2
							Gluconacetobacter sp. SXCC-1		NrdBk				1	1
							Gluconacetobacter sp. SXCC-1		NrdB				1	1
							Gluconacetobacter sp. SXCC-1		NrdA				1	1
							Gluconacetobacter sp. SXCC-1		NrdAk				1	1
							Streptococcus suis ST1		NrdB				1	1
							Streptococcus suis ST1		NrdF				1	1
							Streptococcus suis ST1		NrdA				1	1
							Streptococcus suis ST1		NrdD				1	1
							Streptococcus suis ST1		NrdDc1				1	1
							Streptococcus suis ST1		NrdE				1	1
							Streptococcus suis ST1		NrdDc				1	1
							Streptococcus suis		NrdB				14	14
							Streptococcus suis		NrdF				14	14
							Streptococcus suis		NrdA				14	14
							Streptococcus suis		NrdD				14	14
							Streptococcus suis		NrdDc1				14	14
							Streptococcus suis		NrdE				14	14
							Streptococcus suis		NrdDc				14	14
							Streptococcus suis D12		NrdB				1	1
							Streptococcus suis D12		NrdF				1	1
							Streptococcus suis D12		NrdA				1	1
							Streptococcus suis D12		NrdD				1	1
							Streptococcus suis D12		NrdDc1				1	1
							Streptococcus suis D12		NrdE				1	1
							Streptococcus suis D12		NrdDc				1	1
							Streptococcus suis SS12		NrdB				1	1
							Streptococcus suis SS12		NrdF				1	1
							Streptococcus suis SS12		NrdA				1	1
							Streptococcus suis SS12		NrdD				1	1
							Streptococcus suis SS12		NrdDc1				1	1
							Streptococcus suis SS12		NrdE				1	1
							Streptococcus suis SS12		NrdDc				1	1
							Streptococcus suis D9		NrdB				1	1
							Streptococcus suis D9		NrdF				1	1
							Streptococcus suis D9		NrdA				1	1
							Streptococcus suis D9		NrdD				1	1
							Streptococcus suis D9		NrdDc1				1	1
							Streptococcus suis D9		NrdE				1	1
							Streptococcus suis D9		NrdDc				1	1
							Collimonas fungivorans Ter331		NrdB				1	1
							Collimonas fungivorans Ter331		NrdBc				1	1
							Collimonas fungivorans Ter331		NrdA				1	1
							Collimonas fungivorans Ter331		NrdAc				1	1
							Collimonas fungivorans		NrdB				1	1
							Collimonas fungivorans		NrdBc				1	1
							Collimonas fungivorans		NrdA				1	1
							Collimonas fungivorans		NrdAc				1	1
							Buchnera aphidicola str. Ua (Uroleucon ambrosiae)		NrdBg				1	1
							Buchnera aphidicola str. Ua (Uroleucon ambrosiae)		NrdB				1	1
							Buchnera aphidicola str. Ua (Uroleucon ambrosiae)		NrdA				1	1
							Buchnera aphidicola str. Ua (Uroleucon ambrosiae)		NrdAg				1	1
							Buchnera aphidicola		NrdBg				11	11
							Buchnera aphidicola		NrdB				11	11
							Buchnera aphidicola		NrdA				10	10
							Buchnera aphidicola		NrdAg				10	10
							Gallibacterium anatis UMN179		NrdBg				1	1
							Gallibacterium anatis UMN179		NrdB				1	1
							Gallibacterium anatis UMN179		NrdA				1	1
							Gallibacterium anatis UMN179		NrdD				1	1
							Gallibacterium anatis UMN179		NrdDc1				1	1
							Gallibacterium anatis UMN179		NrdAg				1	1
							Gallibacterium anatis UMN179		NrdDc				1	1
							Gallibacterium anatis		NrdBg				1	1
							Gallibacterium anatis		NrdB				1	1
							Gallibacterium anatis		NrdA				1	1
							Gallibacterium anatis		NrdD				1	1
							Gallibacterium anatis		NrdDc1				1	1
							Gallibacterium anatis		NrdAg				1	1
							Gallibacterium anatis		NrdDc				1	1
							Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)		NrdBg				1	1
							Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)		NrdB				1	1
							Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)		NrdA				1	1
							Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)		NrdAg				1	1
							Metallosphaera cuprina Ar-4		NrdJ				1	1
							Metallosphaera cuprina Ar-4		NrdJf				1	1
							Metallosphaera cuprina		NrdJ				1	1
							Metallosphaera cuprina		NrdJf				1	1
							Bacillus megaterium WSH-002		NrdB				1	1
							Bacillus megaterium WSH-002		NrdA				1	1
							Bacillus megaterium WSH-002		NrdAh				1	1
							Bacillus megaterium		NrdB				3	3
							Bacillus megaterium		NrdA				3	3
							Bacillus megaterium		NrdAh				3	3
							Staphylococcus aureus subsp. aureus T0131		NrdB				1	1
							Staphylococcus aureus subsp. aureus T0131		NrdF				1	1
							Staphylococcus aureus subsp. aureus T0131		NrdA				1	1
							Staphylococcus aureus subsp. aureus T0131		NrdD				1	1
							Staphylococcus aureus subsp. aureus T0131		NrdDc1				1	1
							Staphylococcus aureus subsp. aureus T0131		NrdE				1	1
							Staphylococcus aureus subsp. aureus T0131		NrdDc				1	1
							Staphylococcus aureus		NrdB				46	45
							Staphylococcus aureus		NrdF				46	45
							Staphylococcus aureus		NrdA				45	44
							Staphylococcus aureus		NrdD				45	45
							Staphylococcus aureus		NrdDc1				45	45
							Staphylococcus aureus		NrdE				45	44
							Staphylococcus aureus		NrdDc				45	45
							Klebsiella oxytoca KCTC 1686		NrdBg				1	1
							Klebsiella oxytoca KCTC 1686		NrdB				2	1
							Klebsiella oxytoca KCTC 1686		NrdF				1	1
							Klebsiella oxytoca KCTC 1686		NrdF1				1	1
							Klebsiella oxytoca KCTC 1686		NrdA				2	1
							Klebsiella oxytoca KCTC 1686		NrdD				1	1
							Klebsiella oxytoca KCTC 1686		NrdDc1				1	1
							Klebsiella oxytoca KCTC 1686		NrdAg				1	1
							Klebsiella oxytoca KCTC 1686		NrdE				1	1
							Klebsiella oxytoca KCTC 1686		NrdE1				1	1
							Klebsiella oxytoca KCTC 1686		NrdDc				1	1
							Klebsiella oxytoca		NrdBg				1	1
							Klebsiella oxytoca		NrdB				2	1
							Klebsiella oxytoca		NrdF				1	1
							Klebsiella oxytoca		NrdF1				1	1
							Klebsiella oxytoca		NrdA				2	1
							Klebsiella oxytoca		NrdD				1	1
							Klebsiella oxytoca		NrdDc1				1	1
							Klebsiella oxytoca		NrdAg				1	1
							Klebsiella oxytoca		NrdE				1	1
							Klebsiella oxytoca		NrdE1				1	1
							Klebsiella oxytoca		NrdDc				1	1
							Acetobacter pasteurianus NBRC 101655		NrdBk				1	1
							Acetobacter pasteurianus NBRC 101655		NrdB				1	1
							Acetobacter pasteurianus NBRC 101655		NrdA				1	1
							Acetobacter pasteurianus NBRC 101655		NrdAk				1	1
							Acetobacter pasteurianus		NrdBk				9	9
							Acetobacter pasteurianus		NrdB				9	9
							Acetobacter pasteurianus		NrdA				9	9
							Acetobacter pasteurianus		NrdAk				9	9
							Streptococcus suis ST3		NrdB				1	1
							Streptococcus suis ST3		NrdF				1	1
							Streptococcus suis ST3		NrdA				1	1
							Streptococcus suis ST3		NrdD				1	1
							Streptococcus suis ST3		NrdDc1				1	1
							Streptococcus suis ST3		NrdE				1	1
							Streptococcus suis ST3		NrdDc				1	1
							Paenibacillus elgii B69		NrdBh				1	1
							Paenibacillus elgii B69		NrdB				2	1
							Paenibacillus elgii B69		NrdF				1	1
							Paenibacillus elgii B69		NrdA				3	1
							Paenibacillus elgii B69		NrdJ				2	1
							Paenibacillus elgii B69		NrdJm				1	1
							Paenibacillus elgii B69		NrdJf				1	1
							Paenibacillus elgii B69		NrdD				1	1
							Paenibacillus elgii B69		NrdAh				2	1
							Paenibacillus elgii B69		NrdE				1	1
							Paenibacillus elgii B69		NrdDf				1	1
							Paenibacillus elgii		NrdBh				1	1
							Paenibacillus elgii		NrdB				2	1
							Paenibacillus elgii		NrdF				1	1
							Paenibacillus elgii		NrdA				3	1
							Paenibacillus elgii		NrdJ				2	1
							Paenibacillus elgii		NrdJm				1	1
							Paenibacillus elgii		NrdJf				1	1
							Paenibacillus elgii		NrdD				1	1
							Paenibacillus elgii		NrdAh				2	1
							Paenibacillus elgii		NrdE				1	1
							Paenibacillus elgii		NrdDf				1	1
							Pusillimonas sp. T7-7		NrdB				1	1
							Pusillimonas sp. T7-7		NrdBc				1	1
							Pusillimonas sp. T7-7		NrdA				1	1
							Pusillimonas sp. T7-7		NrdJ				1	1
							Pusillimonas sp. T7-7		NrdJf				1	1
							Pusillimonas sp. T7-7		NrdD				1	1
							Pusillimonas sp. T7-7		NrdAc				1	1
							Pusillimonas sp. T7-7		NrdDd1				1	1
							Pusillimonas sp. T7-7		NrdDd				1	1
							Salmonella enterica subsp. enterica serovar Typhimurium str. 798		NrdBg				1	1
							Salmonella enterica subsp. enterica serovar Typhimurium str. 798		NrdB				2	1
							Salmonella enterica subsp. enterica serovar Typhimurium str. 798		NrdF				1	1
							Salmonella enterica subsp. enterica serovar Typhimurium str. 798		NrdF1				1	1
							Salmonella enterica subsp. enterica serovar Typhimurium str. 798		NrdA				2	1
							Salmonella enterica subsp. enterica serovar Typhimurium str. 798		NrdD				1	1
							Salmonella enterica subsp. enterica serovar Typhimurium str. 798		NrdDc1				1	1
							Salmonella enterica subsp. enterica serovar Typhimurium str. 798		NrdAg				1	1
							Salmonella enterica subsp. enterica serovar Typhimurium str. 798		NrdE				1	1
							Salmonella enterica subsp. enterica serovar Typhimurium str. 798		NrdE1				1	1
							Salmonella enterica subsp. enterica serovar Typhimurium str. 798		NrdDc				1	1
							Salmonella enterica		NrdBg				27	26
							Salmonella enterica		NrdB				51	26
							Salmonella enterica		NrdF				24	24
							Salmonella enterica		NrdF1				24	24
							Salmonella enterica		NrdA				52	26
							Salmonella enterica		NrdD				26	26
							Salmonella enterica		NrdDc1				26	26
							Salmonella enterica		NrdAg				27	26
							Salmonella enterica		NrdE				25	25
							Salmonella enterica		NrdE1				25	25
							Salmonella enterica		NrdDc				26	26
							Taylorella asinigenitalis MCE3		NrdBg				1	1
							Taylorella asinigenitalis MCE3		NrdB				1	1
							Taylorella asinigenitalis MCE3		NrdA				1	1
							Taylorella asinigenitalis MCE3		NrdAg				1	1
							Taylorella asinigenitalis		NrdBg				1	1
							Taylorella asinigenitalis		NrdB				1	1
							Taylorella asinigenitalis		NrdA				1	1
							Taylorella asinigenitalis		NrdAg				1	1
							Mus musculus		NrdBe				2	1
							Mus musculus		NrdB				2	1
							Mus musculus		NrdA				1	1
							Mus musculus		NrdAe				1	1
							Gardnerella vaginalis HMP9231		NrdB				1	1
							Gardnerella vaginalis HMP9231		NrdF				1	1
							Gardnerella vaginalis HMP9231		NrdF1				1	1
							Gardnerella vaginalis HMP9231		NrdA				1	1
							Gardnerella vaginalis HMP9231		NrdD				1	1
							Gardnerella vaginalis HMP9231		NrdDc1				1	1
							Gardnerella vaginalis HMP9231		NrdE				1	1
							Gardnerella vaginalis HMP9231		NrdE1				1	1
							Gardnerella vaginalis HMP9231		NrdDc				1	1
							Gardnerella vaginalis		NrdB				6	6
							Gardnerella vaginalis		NrdF				6	6
							Gardnerella vaginalis		NrdF1				6	6
							Gardnerella vaginalis		NrdA				6	6
							Gardnerella vaginalis		NrdD				6	6
							Gardnerella vaginalis		NrdDc1				6	6
							Gardnerella vaginalis		NrdE				6	6
							Gardnerella vaginalis		NrdE1				6	6
							Gardnerella vaginalis		NrdDc				6	6
							Comamonas testosteroni ATCC 11996		NrdB				1	1
							Comamonas testosteroni ATCC 11996		NrdBc				1	1
							Comamonas testosteroni ATCC 11996		NrdA				1	1
							Comamonas testosteroni ATCC 11996		NrdJ				1	1
							Comamonas testosteroni ATCC 11996		NrdJf				1	1
							Comamonas testosteroni ATCC 11996		NrdAc				1	1
							Comamonas testosteroni		NrdB				3	3
							Comamonas testosteroni		NrdBc				3	3
							Comamonas testosteroni		NrdA				3	3
							Comamonas testosteroni		NrdJ				3	3
							Comamonas testosteroni		NrdJf				3	3
							Comamonas testosteroni		NrdAc				3	3
							Streptococcus pyogenes MGAS1882		NrdB				2	1
							Streptococcus pyogenes MGAS1882		NrdF				2	1
							Streptococcus pyogenes MGAS1882		NrdA				2	1
							Streptococcus pyogenes MGAS1882		NrdD				1	1
							Streptococcus pyogenes MGAS1882		NrdDc1				1	1
							Streptococcus pyogenes MGAS1882		NrdE				2	1
							Streptococcus pyogenes MGAS1882		NrdDc				1	1
							Streptococcus pyogenes		NrdB				34	17
							Streptococcus pyogenes		NrdF				34	17
							Streptococcus pyogenes		NrdA				34	17
							Streptococcus pyogenes		NrdD				17	17
							Streptococcus pyogenes		NrdDc1				17	17
							Streptococcus pyogenes		NrdE				34	17
							Streptococcus pyogenes		NrdDc				17	17
							Rattus norvegicus		NrdBe				4	1
							Rattus norvegicus		NrdB				4	1
							Rattus norvegicus		NrdA				1	1
							Rattus norvegicus		NrdAe				1	1
							Rhodococcus jostii RHA1		R2lox				1	1
							Rhodococcus jostii RHA1		NrdB				1	1
							Rhodococcus jostii RHA1		NrdF				1	1
							Rhodococcus jostii RHA1		NrdF1				1	1
							Rhodococcus jostii RHA1		R2loxA				1	1
							Rhodococcus jostii RHA1		NrdA				1	1
							Rhodococcus jostii RHA1		NrdE				1	1
							Rhodococcus jostii RHA1		NrdE1				1	1
							Rhodococcus jostii		R2lox				1	1
							Rhodococcus jostii		NrdB				1	1
							Rhodococcus jostii		NrdF				1	1
							Rhodococcus jostii		NrdF1				1	1
