domain	kingdom	phylum	class	order	family	genus	n_genomes	protein:RNR IIIa:NrdDa:n_proteins	protein:RNR IIIa:NrdDa:n_genomes_w_protein	protein:RNR IIIb:NrdDb:n_proteins	protein:RNR IIIb:NrdDb:n_genomes_w_protein	protein:RNR IIIc:NrdDc:n_proteins	protein:RNR IIIc:NrdDc:n_genomes_w_protein	protein:RNRIIId:NrdDd:n_proteins	protein:RNRIIId:NrdDd:n_genomes_w_protein	protein:RNR IIIf:NrdDf:n_proteins	protein:RNR IIIf:NrdDf:n_genomes_w_protein	protein:RNR IIIh:NrdDh:n_proteins	protein:RNR IIIh:NrdDh:n_genomes_w_protein	protein:RNRIIIi:NrdDi:n_proteins	protein:RNRIIIi:NrdDi:n_genomes_w_protein
Bacteria	unspecified kingdom	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Methyloversatilis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	3	0	0	0	0	6	3	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantotea	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	2	0	0	0	0	4	2	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shigella	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxella	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	3	2	1	0	0	0	0	2	1	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Borrelia	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	unspecified kingdom	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Fervidobacterium	2	0	0	0	0	0	0	0	0	0	0	6	2	0	0
Bacteria	unspecified kingdom	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermosipho	2	0	0	0	0	0	0	0	0	0	0	4	2	0	0
Bacteria	unspecified kingdom	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	4	0	0	0	0	0	0	0	0	0	0	10	4	0	0
Bacteria	unspecified kingdom	unspecified phylum	unspecified class	unspecified order	unspecified family	unspecified genus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	unspecified family	Coccidioides	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Fungi	Microsporidia	unspecified class	unspecified order	Unikaryonidae	Encephalitozoon	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Amphibia	Anura	Pipidae	Silurana	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Ascidiacea	Enterogona	Cionidae	Ciona	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Aves	Galliformes	Phasianidae	Gallus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Mammalia	Didelphimorphia	Didelphidae	Monodelphis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Homo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	Pongo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Metazoa	Chordata	Mammalia	Rodentia	Muridae	Mus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Viridiplantae	Streptophyta	Bryopsida	Funariales	Funariaceae	Physcomitrella	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Viridiplantae	Streptophyta	Isoetopsida	Selaginellales	Selaginellaceae	Selaginella	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota	Viridiplantae	Streptophyta	unspecified class	Brassicales	Brassicaceae	Arabidopsis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viruses	dsDNA viruses, no RNA stage	unspecified phylum	unspecified class	Caudovirales	Myoviridae	FelixO1likevirus	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0
Viruses	dsDNA viruses, no RNA stage	unspecified phylum	unspecified class	Caudovirales	Myoviridae	T4-like viruses	3	0	0	0	0	6	3	0	0	0	0	0	0	0	0
